point,domain_i,domain_j,p_i,p_j,sigma,MRS_i_over_j
p_ref,europarl,pubmed_abstracts,0.0131905705768079,0.0667829932263871,17.857268623999907,1.145798055706326
p*,europarl,pubmed_abstracts,0.0056850989469004,0.0641841018028109,7.8919937117998336,1.2666209014783965
p_ref,europarl,uspto_backgrounds,0.0131905705768079,0.075329842062607,17.33515350670615,1.1071680698443993
p*,europarl,uspto_backgrounds,0.0056850989469004,0.0662765423234883,7.9381918771132165,1.2341401254015874
p_ref,hackernews,pubmed_abstracts,0.0116619852119038,0.0667829932263871,-1.9780162266181864,0.6101869288836574
p*,hackernews,pubmed_abstracts,0.0370865525074324,0.0641841018028109,-8.540210614855432,0.8567155198294709
p_ref,hackernews,uspto_backgrounds,0.0116619852119038,0.075329842062607,-1.9510360445342625,0.5896147937517144
p*,hackernews,uspto_backgrounds,0.0370865525074324,0.0662765423234883,-8.052449164871774,0.8347462116263387
p_ref,pubmed_abstracts,uspto_backgrounds,0.0667829932263871,0.075329842062607,-13.202914289203996,0.9662855198003342
p*,pubmed_abstracts,uspto_backgrounds,0.0641841018028109,0.0662765423234883,-12.005927359423616,0.9743563555291899
